showid,title,type,releaseyear,endyear,duration,genres,cast,imdbrating,numvotes,popularityrank,isadult,url
tt0114814,The Usual Suspects,Movie,1995,1995,106 min,"Crime,Drama,Mystery","Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin, Benicio Del Toro",8.5,1235347,54,0,https://www.imdb.com/title/tt0114814/
tt1049413,Up,Movie,2009,2009,96 min,"Adventure,Animation,Comedy","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, Bob Peterson",8.3,1231338,55,0,https://www.imdb.com/title/tt1049413/
tt0264464,Catch Me If You Can,Movie,2002,2002,141 min,"Biography,Crime,Drama","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye",8.1,1231100,56,0,https://www.imdb.com/title/tt0264464/
tt0081505,The Shining,Movie,1980,1980,146 min,"Drama,Horror","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson",8.4,1221387,57,0,https://www.imdb.com/title/tt0081505/
tt0371746,Iron Man,Movie,2008,2008,126 min,"Action,Adventure,Sci-Fi","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges, Leslie Bibb",7.9,1220238,58,0,https://www.imdb.com/title/tt0371746/
tt0119217,Good Will Hunting,Movie,1997,1997,126 min,"Drama,Romance","Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton",8.4,1210803,59,0,https://www.imdb.com/title/tt0119217/
tt0086190,Star Wars: Episode VI - Return of the Jedi,Movie,1983,1983,131 min,"Action,Adventure,Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",8.3,1205752,60,0,https://www.imdb.com/title/tt0086190/
tt0266543,Finding Nemo,Movie,2003,2003,100 min,"Adventure,Animation,Comedy","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett",8.2,1203719,61,0,https://www.imdb.com/title/tt0266543/
tt1392190,Mad Max: Fury Road,Movie,2015,2015,120 min,"Action,Adventure,Sci-Fi","Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, Hugh Keays-Byrne",8.1,1202855,62,0,https://www.imdb.com/title/tt1392190/
tt1520211,The Walking Dead,TV Show,2010,2022,45 min,"Drama,Horror,Thriller","Andrew Lincoln, Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",8.1,1191513,63,0,https://www.imdb.com/title/tt1520211/
tt0108778,Friends,TV Show,1994,2004,22 min,"Comedy,Romance","Jennifer Aniston, Courteney Cox, Courteney Cox, Lisa Kudrow, Lisa Kudrow",8.8,1188293,64,0,https://www.imdb.com/title/tt0108778/
tt0477348,No Country for Old Men,Movie,2007,2007,122 min,"Crime,Drama,Thriller","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald",8.2,1184284,65,0,https://www.imdb.com/title/tt0477348/
tt0338013,Eternal Sunshine of the Spotless Mind,Movie,2004,2004,108 min,"Drama,Romance,Sci-Fi","Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne, Elijah Wood",8.3,1179447,66,0,https://www.imdb.com/title/tt0338013/
tt0107290,Jurassic Park,Movie,1993,1993,127 min,"Action,Adventure,Sci-Fi","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck",8.2,1172981,67,0,https://www.imdb.com/title/tt0107290/
tt0114709,Toy Story,Movie,1995,1995,81 min,"Adventure,Animation,Comedy","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",8.3,1169713,68,0,https://www.imdb.com/title/tt0114709/
